2024-06-14 09:41:22,515 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Configure stats pid to 17748
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Logan\.config\wandb\settings
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Loading settings from B:\GitHub\ultralytics\ultralytics\ultralytics\wandb\settings
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ultralytics\\TestYolo.py', 'program_abspath': 'B:\\GitHub\\ultralytics\\ultralytics\\ultralytics\\TestYolo.py', 'program': 'B:\\GitHub\\ultralytics\\ultralytics\\ultralytics\\TestYolo.py'}
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_init.py:_log_setup():520] Logging user logs to B:\GitHub\ultralytics\ultralytics\ultralytics\wandb\run-20240614_094122-9fpnvvg5\logs\debug.log
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_init.py:_log_setup():521] Logging internal logs to B:\GitHub\ultralytics\ultralytics\ultralytics\wandb\run-20240614_094122-9fpnvvg5\logs\debug-internal.log
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_init.py:init():560] calling init triggers
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'task': 'detect', 'mode': 'train', 'model': 'yolov8.yaml', 'data': 'B:\\GitHub\\ultralytics\\ultralytics\\ultralytics\\cfg\\datasets\\coco128.yaml', 'epochs': 1, 'time': None, 'patience': 100, 'batch': 4, 'imgsz': 640, 'save': True, 'save_period': -1, 'cache': False, 'device': None, 'workers': 8, 'project': 'Normalization_Types', 'name': 'GroupNorm_4BatchFix5', 'exist_ok': False, 'pretrained': True, 'optimizer': 'auto', 'verbose': True, 'seed': 0, 'deterministic': True, 'single_cls': False, 'rect': False, 'cos_lr': False, 'close_mosaic': 10, 'resume': False, 'amp': True, 'fraction': 1.0, 'profile': False, 'freeze': None, 'multi_scale': False, 'overlap_mask': True, 'mask_ratio': 4, 'dropout': 0.0, 'val': True, 'split': 'val', 'save_json': False, 'save_hybrid': False, 'conf': None, 'iou': 0.7, 'max_det': 300, 'half': False, 'dnn': False, 'plots': True, 'source': None, 'vid_stride': 1, 'stream_buffer': False, 'visualize': False, 'augment': False, 'agnostic_nms': False, 'classes': None, 'retina_masks': False, 'embed': None, 'show': False, 'save_frames': False, 'save_txt': False, 'save_conf': False, 'save_crop': False, 'show_labels': True, 'show_conf': True, 'show_boxes': True, 'line_width': None, 'format': 'torchscript', 'keras': False, 'optimize': False, 'int8': False, 'dynamic': False, 'simplify': False, 'opset': None, 'workspace': 4, 'nms': False, 'lr0': 0.01, 'lrf': 0.01, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 7.5, 'cls': 0.5, 'dfl': 1.5, 'pose': 12.0, 'kobj': 1.0, 'label_smoothing': 0.0, 'nbs': 64, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'bgr': 0.0, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'auto_augment': 'randaugment', 'erasing': 0.4, 'crop_fraction': 1.0, 'cfg': None, 'tracker': 'botsort.yaml', 'save_dir': 'Normalization_Types\\GroupNorm_4BatchFix5'}
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_init.py:init():610] starting backend
2024-06-14 09:41:22,516 INFO    MainThread:17748 [wandb_init.py:init():614] setting up manager
2024-06-14 09:41:22,518 INFO    MainThread:17748 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-06-14 09:41:22,521 INFO    MainThread:17748 [wandb_init.py:init():622] backend started and connected
